quarter,neighborhood,population,clinics_within_5km,avg_wait_minutes,preventive_visit_pct,emergency_visits,telehealth_pct,chronic_disease_pct,senior_pop_pct,insurance_coverage_pct
2024-Q1,North District,38500,4,45,52,720,18,28,18,85
2024-Q2,South District,42100,6,38,60,580,24,22,15,90
2024-Q3,West End,18600,2,72,32,1150,10,38,24,70
2024-Q4,East Side,63700,8,19,70,350,36,19,12,97
2024-Q1,Downtown,52000,5,52,48,890,22,32,20,82
2024-Q2,Central Valley,31000,3,60,40,980,15,35,22,75
2024-Q3,Blue Ridge,24500,1,82,30,1240,8,42,26,68
2024-Q4,North District,39200,4,48,50,710,19,29,19,84
2024-Q1,South District,41800,7,35,62,590,23,21,14,91
2024-Q2,West End,19200,2,70,34,1120,11,39,25,71
2024-Q3,East Side,62900,9,21,68,360,35,20,13,96
2024-Q4,Downtown,51400,5,50,49,880,21,31,19,83
2024-Q1,Central Valley,30500,3,58,41,970,16,36,21,74
2024-Q2,Blue Ridge,24900,1,80,31,1210,9,41,25,69
2024-Q3,North District,38100,4,42,55,730,17,27,17,86
2024-Q4,South District,42500,6,40,58,570,25,23,16,89
2024-Q1,West End,18100,1,75,30,1180,9,37,23,69
2024-Q2,East Side,64200,8,20,72,340,36,19,12,97
2024-Q3,Downtown,52600,6,54,46,910,23,33,21,81
2024-Q4,Central Valley,31200,3,62,38,990,14,34,23,76
2024-Q1,Blue Ridge,24100,2,81,32,1230,8,42,26,68
2024-Q2,North District,39500,5,44,51,715,20,28,18,85
2024-Q3,South District,41200,7,37,61,585,22,22,15,90
2024-Q4,West End,18900,2,71,33,1140,12,38,24,70
2024-Q1,East Side,63100,8,18,69,355,34,18,12,95
2024-Q2,Downtown,51800,5,51,47,885,20,32,20,82
2024-Q3,Central Valley,30900,3,59,39,975,17,35,22,75
2024-Q4,Blue Ridge,24700,1,79,33,1220,9,40,25,67
